Fecha,Dia_Semana,Mes,Kg_Predichos,Dias_Desde_Hoy
2025-11-03 00:00:00,Monday,November,10.3,6
2025-11-08 00:00:00,Saturday,November,7.6,11
2025-11-12 00:00:00,Wednesday,November,10.3,15
2025-11-17 00:00:00,Monday,November,10.3,20
2025-11-23 00:00:00,Sunday,November,7.6,26
2025-11-27 00:00:00,Thursday,November,9.1,30
2025-11-29 00:00:00,Saturday,November,7.6,32
2025-11-30 00:00:00,Sunday,November,7.6,33
2025-12-03 00:00:00,Wednesday,December,12.4,36
2025-12-07 00:00:00,Sunday,December,9.7,40
2025-12-15 00:00:00,Monday,December,12.4,48
2025-12-16 00:00:00,Tuesday,December,12.4,49
2025-12-20 00:00:00,Saturday,December,9.7,53
2025-12-24 00:00:00,Wednesday,December,12.4,57
2025-12-31 00:00:00,Wednesday,December,12.4,64
2026-01-06 00:00:00,Tuesday,January,9.4,70
2026-01-09 00:00:00,Friday,January,8.2,73
2026-01-16 00:00:00,Friday,January,8.2,80
2026-01-22 00:00:00,Thursday,January,8.2,86
2026-01-26 00:00:00,Monday,January,9.4,90
2026-01-29 00:00:00,Thursday,January,8.2,93
2026-02-01 00:00:00,Sunday,February,7.2,96
2026-02-05 00:00:00,Thursday,February,8.2,100
2026-02-09 00:00:00,Monday,February,9.4,104
2026-02-11 00:00:00,Wednesday,February,9.4,106
2026-02-15 00:00:00,Sunday,February,7.2,110
2026-02-19 00:00:00,Thursday,February,8.2,114
2026-02-26 00:00:00,Thursday,February,8.2,121
2026-03-03 00:00:00,Tuesday,March,8.7,126
2026-03-08 00:00:00,Sunday,March,6.5,131
2026-03-12 00:00:00,Thursday,March,7.5,135
2026-03-17 00:00:00,Tuesday,March,8.7,140
2026-03-20 00:00:00,Friday,March,7.5,143
2026-03-23 00:00:00,Monday,March,8.7,146
2026-04-02 00:00:00,Thursday,April,8.1,156
2026-04-11 00:00:00,Saturday,April,6.8,165
2026-04-13 00:00:00,Monday,April,9.3,167
2026-04-20 00:00:00,Monday,April,9.3,174
2026-04-25 00:00:00,Saturday,April,6.8,179
2026-04-30 00:00:00,Thursday,April,8.1,184
2026-05-02 00:00:00,Saturday,May,7.2,186
2026-05-07 00:00:00,Thursday,May,8.4,191
2026-05-16 00:00:00,Saturday,May,7.2,200
2026-05-24 00:00:00,Sunday,May,7.2,208
2026-05-29 00:00:00,Friday,May,8.4,213
2026-05-30 00:00:00,Saturday,May,7.2,214
2026-06-02 00:00:00,Tuesday,June,12,217
2026-06-09 00:00:00,Tuesday,June,12,224
2026-06-12 00:00:00,Friday,June,10.8,227
2026-06-17 00:00:00,Wednesday,June,12,232
2026-06-26 00:00:00,Friday,June,10.8,241
2026-06-29 00:00:00,Monday,June,12,244
2026-07-04 00:00:00,Saturday,July,7.7,249
2026-07-14 00:00:00,Tuesday,July,10.7,259
2026-07-20 00:00:00,Monday,July,10.7,265
2026-07-26 00:00:00,Sunday,July,7.7,271
2026-08-01 00:00:00,Saturday,August,7.4,277
2026-08-08 00:00:00,Saturday,August,7.4,284
2026-08-10 00:00:00,Monday,August,10.3,286
2026-08-15 00:00:00,Saturday,August,7.4,291
2026-08-21 00:00:00,Friday,August,9.2,297
2026-08-23 00:00:00,Sunday,August,7.4,299
2026-08-27 00:00:00,Thursday,August,9.2,303
2026-09-03 00:00:00,Thursday,September,8.4,310
2026-09-10 00:00:00,Thursday,September,8.4,317
2026-09-13 00:00:00,Sunday,September,6.8,320
2026-09-17 00:00:00,Thursday,September,8.4,324
2026-09-25 00:00:00,Friday,September,8.4,332
2026-10-01 00:00:00,Thursday,October,9.1,338
2026-10-05 00:00:00,Monday,October,10.3,342
2026-10-13 00:00:00,Tuesday,October,10.3,350
2026-10-17 00:00:00,Saturday,October,7.6,354
2026-10-19 00:00:00,Monday,October,10.3,356
2026-10-20 00:00:00,Tuesday,October,10.3,357
2026-10-25 00:00:00,Sunday,October,7.6,362
